id,name,category,price,stock
100,Laptop,Books,3460.29,242
101,Headphones,Home,2710.04,113
102,Monitor,Stationery,3771.3,116
103,Book,Stationery,3785.58,916
104,Monitor,Home,3804.33,65
105,Chair,Home,3267.18,670
106,Backpack,Books,1397.32,447
107,Notebook,Clothing,2369.01,604
108,Headphones,Tools,4095.6,860
109,Monitor,Stationery,4637.17,205
110,Phone,Tools,2601.07,715
111,Backpack,Tools,1296.5,356
112,Lamp,Tools,2677.13,171
113,Shirt,Electronics,3842.68,269
114,Pen,Tools,4727.38,250
115,Mouse,Books,3825.59,973
116,Keyboard,Home,1381.91,597
117,Keyboard,Home,2853.43,263
118,Mirror,Clothing,4160.42,726
119,Headphones,Clothing,4351.06,365
120,Pen,Tools,2700.76,422
121,Headphones,Tools,782.46,127
122,Chair,Clothing,3932.06,789
123,Mouse,Home,312.33,956
124,Phone,Tools,449.57,619
125,Pen,Tools,354.53,703
126,Desk,Stationery,2202.24,655
127,Lamp,Clothing,3842.15,55
128,Mirror,Clothing,3167.68,944
129,Desk,Beauty,4492.25,354
130,Phone,Beauty,1794.28,990
131,Monitor,Stationery,1703.99,374
132,Laptop,Clothing,1040.11,813
133,Shirt,Electronics,2761.8,450
134,Book,Clothing,2547.37,682
135,Pen,Clothing,164.89,896
136,Backpack,Books,2057.56,764
137,Shirt,Tools,3866.4,898
138,Mirror,Beauty,3418.1,795
139,Desk,Books,3405.39,531
140,Backpack,Clothing,4580.92,655
141,Monitor,Tools,742.1,452
142,Headphones,Beauty,3939.33,955
143,Chair,Stationery,1454.64,412
144,Phone,Books,919.01,885
145,Chair,Home,2256.09,842
146,Phone,Clothing,361.04,259
147,Keyboard,Tools,237.2,325
148,Pen,Electronics,2546.33,638
149,Keyboard,Clothing,4891.54,10
150,Headphones,Stationery,914.52,614
151,Headphones,Beauty,1870.66,612
152,Shirt,Tools,3994.23,667
153,Backpack,Tools,4066.63,860
154,Mirror,Electronics,3914.96,566
155,Keyboard,Electronics,1147.39,896
156,Keyboard,Stationery,4021.11,0
157,Mirror,Beauty,2937.28,955
158,Mouse,Stationery,272.09,616
159,Notebook,Tools,4022.95,371
160,Lamp,Clothing,1997.97,842
161,Laptop,Tools,4846.83,521
162,Monitor,Tools,2177.25,956
163,Mirror,Stationery,2796.28,3
164,Backpack,Tools,507.69,996
165,Monitor,Beauty,2910.14,235
166,Desk,Beauty,894.11,77
167,Headphones,Tools,1930.1,328
168,Pen,Clothing,682.79,461
169,Desk,Home,3455.43,77
170,Pen,Tools,992.45,434
171,Lamp,Stationery,1852.19,134
172,Mirror,Clothing,422.61,248
173,Phone,Beauty,2913.14,810
174,Pen,Tools,51.87,752
175,Mouse,Home,1412.36,172
176,Lamp,Electronics,1798.24,69
177,Desk,Tools,3035.89,241
178,Shirt,Books,2986.16,373
179,Notebook,Books,1668.47,214
180,Notebook,Electronics,2396.17,912
181,Mouse,Electronics,2205.2,962
182,Phone,Books,1252.89,372
183,Keyboard,Clothing,492.43,974
184,Phone,Clothing,2710.05,132
185,Backpack,Clothing,2483.34,721
186,Backpack,Tools,2958.14,625
187,Backpack,Electronics,1200.99,342
188,Headphones,Electronics,92.86,481
189,Shirt,Home,2629.43,849
190,Lamp,Books,3034.91,770
191,Tablet,Stationery,4699.7,494
192,Pen,Clothing,1564.8,632
193,Book,Electronics,1052.36,908
194,Tablet,Home,1287.3,610
195,Keyboard,Stationery,2263.76,561
196,Desk,Stationery,4493.76,304
197,Headphones,Clothing,924.8,581
198,Laptop,Books,2583.62,300
199,Lamp,Books,4112.12,604
200,Headphones,Books,2484.91,380
201,Laptop,Clothing,2657.22,195
202,Lamp,Home,309.93,974
203,Book,Books,74.16,20
204,Pen,Clothing,3560.65,288
205,Tablet,Home,4262.35,333
206,Mirror,Electronics,175.84,375
207,Monitor,Electronics,4626.77,157
208,Phone,Books,767.53,354
209,Pen,Beauty,1574.98,883
210,Mouse,Clothing,329.64,908
211,Backpack,Clothing,3440.12,266
212,Laptop,Home,3059.52,691
213,Tablet,Beauty,2170.26,115
214,Lamp,Clothing,2059.54,18
215,Headphones,Home,3983.67,606
216,Keyboard,Stationery,4828.36,601
217,Laptop,Electronics,1454.61,961
218,Shirt,Electronics,4711.95,737
219,Backpack,Tools,646.01,831
220,Desk,Electronics,1012.72,27
221,Tablet,Electronics,4281.05,612
222,Mouse,Home,3246.39,780
223,Monitor,Tools,627.9,835
224,Notebook,Beauty,4462.7,852
225,Desk,Clothing,477.12,122
226,Book,Beauty,4810.15,690
227,Book,Tools,2199.02,165
228,Phone,Electronics,3754.35,436
229,Chair,Tools,410.81,921
230,Headphones,Beauty,184.25,671
231,Phone,Books,1334.13,25
232,Mouse,Books,2138.74,687
233,Headphones,Electronics,582.54,421
234,Laptop,Clothing,3979.28,242
235,Book,Books,2228.59,982
236,Mirror,Home,2619.51,419
237,Keyboard,Electronics,3198.81,36
238,Mirror,Clothing,164.87,988
239,Laptop,Tools,4317.28,801
240,Backpack,Beauty,4696.48,827
241,Monitor,Tools,1381.33,684
242,Book,Home,764.64,152
243,Mouse,Tools,4430.8,649
244,Keyboard,Stationery,2809.49,689
245,Headphones,Home,4336.05,661
246,Book,Clothing,4138.57,83
247,Keyboard,Books,2483.06,492
248,Notebook,Clothing,1739.33,185
249,Laptop,Clothing,3167.16,451
250,Laptop,Tools,4717.07,344
251,Backpack,Clothing,2465.27,577
252,Chair,Tools,1243.69,408
253,Backpack,Tools,4404.75,443
254,Tablet,Home,273.25,999
255,Keyboard,Tools,2713.62,179
256,Monitor,Tools,1112.48,214
257,Headphones,Clothing,817.29,464
258,Mirror,Home,537.73,828
259,Tablet,Tools,1259.42,367
260,Shirt,Home,3554.59,469
261,Backpack,Home,3832.91,663
262,Notebook,Electronics,4313.03,621
263,Lamp,Electronics,1090.43,414
264,Laptop,Books,4908.17,401
265,Phone,Home,933.12,482
266,Backpack,Books,1395.87,13
267,Headphones,Home,3641.95,187
268,Tablet,Beauty,3857.74,925
269,Shirt,Electronics,2119.46,415
270,Book,Beauty,4611.39,571
271,Keyboard,Stationery,1981.74,385
272,Mouse,Beauty,3655.82,759
273,Keyboard,Books,3773.29,539
274,Pen,Electronics,4829.58,242
275,Pen,Tools,4308.43,641
276,Tablet,Stationery,1067.71,678
277,Chair,Home,833.27,415
278,Book,Electronics,4327.77,32
279,Headphones,Books,4882.96,160
280,Backpack,Books,4306.84,219
281,Pen,Tools,1263.26,249
282,Headphones,Books,4022.24,586
283,Book,Home,2189.69,832
284,Notebook,Electronics,4335.39,155
285,Pen,Beauty,2966.41,520
286,Pen,Home,1261.99,414
287,Book,Stationery,3344.46,898
288,Headphones,Home,2879.31,43
289,Pen,Home,3313.52,533
290,Phone,Home,3867.39,681
291,Shirt,Stationery,744.74,587
292,Pen,Beauty,2698.46,156
293,Mirror,Home,1869.04,691
294,Mouse,Clothing,3865.54,993
295,Shirt,Stationery,2151.83,254
296,Phone,Tools,283.83,267
297,Notebook,Electronics,1805.53,161
298,Backpack,Home,53.1,983
299,Tablet,Tools,4611.53,505
300,Monitor,Tools,75.97,494
301,Tablet,Clothing,2304.45,342
302,Chair,Stationery,759.29,84
303,Keyboard,Books,1313.63,761
304,Phone,Home,1674.0,955
305,Mirror,Books,4503.05,85
306,Pen,Beauty,3145.29,868
307,Desk,Clothing,1905.57,487
308,Keyboard,Home,4184.19,477
309,Book,Books,3806.6,436
310,Monitor,Tools,2000.15,160
311,Notebook,Electronics,1969.2,410
312,Desk,Beauty,4261.72,23
313,Chair,Clothing,3056.2,988
314,Tablet,Beauty,996.78,4
315,Book,Stationery,421.29,460
316,Lamp,Clothing,1220.49,877
317,Desk,Clothing,2371.88,697
318,Pen,Clothing,2040.48,935
319,Pen,Clothing,4677.73,792
320,Notebook,Beauty,329.83,34
321,Backpack,Books,921.58,989
322,Tablet,Electronics,3075.41,194
323,Pen,Books,806.12,557
324,Phone,Tools,2481.46,587
325,Shirt,Stationery,2398.16,151
326,Headphones,Home,306.03,881
327,Desk,Clothing,4807.4,739
328,Shirt,Books,2989.75,767
329,Desk,Electronics,2525.02,866
330,Keyboard,Tools,3360.22,458
331,Notebook,Clothing,279.8,224
332,Pen,Stationery,4411.96,771
333,Book,Stationery,4893.4,336
334,Book,Clothing,569.16,843
335,Lamp,Clothing,2506.25,408
336,Mouse,Tools,1851.74,340
337,Keyboard,Stationery,802.21,195
338,Chair,Home,3918.97,600
339,Chair,Clothing,3004.29,432
340,Shirt,Home,2104.17,572
341,Mirror,Home,4963.62,714
342,Lamp,Tools,2352.03,326
343,Mouse,Stationery,3853.11,721
344,Monitor,Electronics,227.29,521
345,Laptop,Home,3879.37,550
346,Mouse,Books,4778.55,94
347,Notebook,Books,3339.51,570
348,Laptop,Electronics,1055.83,523
349,Chair,Electronics,671.19,986
350,Mouse,Stationery,374.05,842
351,Keyboard,Tools,3188.88,471
352,Phone,Beauty,4047.46,146
353,Pen,Books,2455.26,689
354,Keyboard,Clothing,3654.07,709
355,Headphones,Books,2238.43,520
356,Chair,Beauty,1864.69,680
357,Book,Clothing,546.98,149
358,Laptop,Clothing,4145.45,288
359,Laptop,Books,859.45,426
360,Backpack,Electronics,3784.14,959
361,Book,Books,2600.98,26
362,Monitor,Tools,2241.03,698
363,Monitor,Electronics,3126.12,155
364,Headphones,Electronics,562.09,336
365,Desk,Electronics,2414.45,33
366,Phone,Books,443.66,702
367,Book,Tools,4213.09,139
368,Notebook,Clothing,697.46,966
369,Book,Books,2797.78,325
370,Laptop,Home,582.29,865
371,Desk,Clothing,1757.44,278
372,Desk,Electronics,4876.28,628
373,Shirt,Electronics,1322.47,463
374,Backpack,Beauty,1905.63,224
375,Backpack,Stationery,3254.7,894
376,Mirror,Home,3274.91,986
377,Laptop,Electronics,979.81,851
378,Backpack,Beauty,3196.5,118
379,Tablet,Electronics,3393.64,216
380,Book,Electronics,4130.6,172
381,Chair,Electronics,3431.54,311
382,Lamp,Tools,1930.25,617
383,Book,Tools,2912.9,998
384,Chair,Electronics,773.85,656
385,Notebook,Electronics,4353.38,658
386,Shirt,Books,1447.51,449
387,Headphones,Beauty,4555.51,717
388,Mouse,Clothing,4391.85,442
389,Phone,Home,4870.22,853
390,Lamp,Clothing,666.37,530
391,Pen,Beauty,142.27,464
392,Notebook,Books,3891.78,608
393,Tablet,Tools,574.13,225
394,Book,Electronics,1536.07,885
395,Mirror,Electronics,1837.35,482
396,Mouse,Stationery,92.29,846
397,Notebook,Tools,1532.54,214
398,Lamp,Books,1930.13,625
399,Pen,Clothing,1840.65,726
400,Backpack,Clothing,3245.74,883
401,Desk,Clothing,2113.61,870
402,Laptop,Home,3774.84,588
403,Desk,Beauty,4760.53,522
404,Monitor,Tools,4243.17,924
405,Keyboard,Home,322.44,262
406,Notebook,Tools,2559.84,233
407,Laptop,Tools,4171.93,966
408,Book,Stationery,722.18,256
409,Tablet,Electronics,4561.16,380
410,Backpack,Electronics,2809.72,10
411,Tablet,Home,3029.48,652
412,Mouse,Home,2552.95,728
413,Mirror,Clothing,4617.58,736
414,Chair,Clothing,38.86,507
415,Mouse,Beauty,2285.31,848
416,Desk,Tools,4116.55,538
417,Keyboard,Home,2874.66,240
418,Mirror,Clothing,2879.99,363
419,Backpack,Electronics,4370.22,234
420,Shirt,Home,3016.24,484
421,Keyboard,Clothing,3323.61,549
422,Chair,Clothing,2145.67,407
423,Desk,Books,2767.14,696
424,Monitor,Books,221.06,870
425,Notebook,Tools,4080.54,637
426,Backpack,Stationery,860.32,272
427,Phone,Books,1968.62,107
428,Desk,Beauty,1221.73,450
429,Desk,Home,2482.59,882
430,Laptop,Home,3384.1,283
431,Mirror,Tools,4568.7,356
432,Keyboard,Electronics,3586.71,144
433,Mouse,Tools,2824.11,920
434,Keyboard,Stationery,880.4,748
435,Shirt,Tools,3084.49,80
436,Notebook,Beauty,3348.35,546
437,Keyboard,Home,4178.13,434
438,Book,Beauty,3174.15,957
439,Chair,Books,4735.96,199
440,Keyboard,Books,1275.03,290
441,Laptop,Home,3567.31,411
442,Backpack,Stationery,932.89,257
443,Headphones,Home,175.13,431
444,Monitor,Stationery,2318.88,487
445,Phone,Home,4544.17,366
446,Desk,Beauty,2947.57,256
447,Keyboard,Stationery,446.8,653
448,Shirt,Stationery,3086.2,85
449,Book,Stationery,452.33,255
450,Tablet,Electronics,2416.83,814
451,Monitor,Beauty,693.96,22
452,Shirt,Stationery,1992.47,132
453,Lamp,Clothing,1694.71,734
454,Laptop,Beauty,2751.31,979
455,Lamp,Electronics,3462.74,547
456,Pen,Tools,3873.79,783
457,Mirror,Clothing,1361.54,52
458,Desk,Tools,892.36,334
459,Laptop,Home,2269.71,157
460,Chair,Home,4883.61,643
461,Notebook,Beauty,3760.5,775
462,Book,Beauty,4132.14,703
463,Monitor,Tools,4601.19,575
464,Monitor,Beauty,4053.74,793
465,Tablet,Beauty,4292.85,520
466,Lamp,Home,2845.9,226
467,Lamp,Clothing,895.52,219
468,Book,Tools,516.91,894
469,Chair,Home,1934.05,512
470,Mirror,Tools,3587.57,950
471,Shirt,Tools,3021.73,30
472,Laptop,Stationery,465.85,826
473,Phone,Books,2926.82,352
474,Phone,Tools,1913.15,43
475,Headphones,Electronics,3615.07,797
476,Book,Tools,1377.42,218
477,Headphones,Stationery,4940.67,757
478,Mouse,Books,3244.67,813
479,Mirror,Beauty,2637.81,827
480,Notebook,Beauty,4522.07,58
481,Backpack,Clothing,2606.4,762
482,Notebook,Home,3102.43,497
483,Keyboard,Clothing,104.85,667
484,Mirror,Clothing,4278.54,334
485,Desk,Clothing,3805.06,913
486,Backpack,Beauty,1269.0,998
487,Mouse,Home,962.61,262
488,Desk,Books,1575.24,461
489,Notebook,Stationery,1476.42,335
490,Pen,Tools,3015.72,416
491,Notebook,Electronics,4549.56,6
492,Phone,Beauty,745.83,775
493,Desk,Electronics,4414.7,303
494,Monitor,Tools,3658.2,632
495,Shirt,Stationery,4442.99,786
496,Mouse,Electronics,3868.87,1
497,Chair,Tools,3720.82,239
498,Tablet,Electronics,1389.66,808
499,Laptop,Books,1548.1,738
500,Headphones,Stationery,680.29,233
501,Phone,Stationery,1990.1,198
502,Notebook,Clothing,4820.61,664
503,Chair,Tools,3142.28,581
504,Keyboard,Books,2376.12,226
505,Desk,Home,3652.46,863
506,Mouse,Clothing,2022.49,897
507,Lamp,Electronics,243.18,19
508,Tablet,Books,2732.51,53
509,Keyboard,Home,4437.29,258
510,Lamp,Home,12.91,5
511,Phone,Home,626.84,299
512,Chair,Stationery,3349.09,206
513,Monitor,Clothing,4552.17,480
514,Keyboard,Beauty,2553.34,951
515,Phone,Electronics,2513.22,107
516,Backpack,Tools,3741.04,957
517,Mirror,Home,982.92,5
518,Mirror,Tools,3864.78,227
519,Lamp,Beauty,3118.06,347
520,Keyboard,Stationery,1285.69,512
521,Pen,Tools,4132.94,393
522,Book,Books,3501.47,36
523,Notebook,Electronics,1182.12,63
524,Chair,Home,2360.26,604
525,Tablet,Clothing,1516.31,81
526,Desk,Beauty,343.98,870
527,Notebook,Clothing,3480.17,101
528,Pen,Electronics,4877.75,296
529,Keyboard,Clothing,2236.13,624
530,Desk,Beauty,4013.81,911
531,Notebook,Electronics,4101.76,124
532,Desk,Beauty,1070.91,489
533,Desk,Electronics,1837.14,442
534,Pen,Tools,1886.08,585
535,Keyboard,Tools,120.6,215
536,Book,Books,2133.5,812
537,Notebook,Clothing,698.73,811
538,Shirt,Books,4763.16,713
539,Headphones,Electronics,2135.01,34
540,Phone,Clothing,238.48,497
541,Shirt,Books,1693.54,100
542,Phone,Electronics,2833.35,507
543,Phone,Home,603.22,592
544,Laptop,Beauty,2656.44,53
545,Mirror,Tools,878.98,164
546,Backpack,Beauty,4018.88,550
547,Keyboard,Clothing,1186.51,568
548,Pen,Home,87.99,441
549,Pen,Clothing,2253.44,684
550,Laptop,Electronics,1623.37,10
551,Phone,Beauty,4697.58,208
552,Shirt,Beauty,4736.47,644
553,Mirror,Books,566.8,777
554,Book,Home,3040.0,672
555,Desk,Electronics,2071.04,789
556,Chair,Clothing,1979.75,244
557,Keyboard,Stationery,422.49,658
558,Phone,Tools,546.54,809
559,Mirror,Home,3084.41,295
560,Headphones,Electronics,3753.2,44
561,Tablet,Electronics,3422.21,614
562,Book,Books,2797.97,251
563,Lamp,Clothing,462.2,797
564,Mirror,Beauty,2543.26,829
565,Chair,Beauty,4601.72,209
566,Mirror,Stationery,3234.95,336
567,Laptop,Tools,1526.35,858
568,Backpack,Beauty,2348.49,432
569,Shirt,Stationery,2399.74,898
570,Shirt,Electronics,2268.9,269
571,Tablet,Electronics,287.03,324
572,Backpack,Electronics,3082.5,843
573,Laptop,Electronics,2007.76,34
574,Monitor,Tools,758.69,519
575,Laptop,Books,249.9,776
576,Backpack,Electronics,2023.38,272
577,Mouse,Books,4006.05,141
578,Chair,Home,1843.07,272
579,Book,Books,2377.06,25
580,Phone,Stationery,2276.96,338
581,Keyboard,Stationery,182.5,519
582,Phone,Home,1419.4,927
583,Backpack,Books,334.02,688
584,Mirror,Stationery,858.99,85
585,Shirt,Electronics,3306.17,667
586,Mouse,Home,4062.1,398
587,Book,Electronics,1023.12,535
588,Book,Beauty,395.13,805
589,Shirt,Beauty,2273.43,900
590,Mirror,Tools,3418.49,728
591,Mirror,Home,699.91,655
592,Laptop,Clothing,3977.92,883
593,Mouse,Home,4765.89,443
594,Notebook,Electronics,446.99,483
595,Phone,Tools,16.91,353
596,Mirror,Home,2741.14,459
597,Chair,Tools,2505.24,931
598,Pen,Beauty,3427.13,611
599,Tablet,Books,3156.89,968
600,Notebook,Clothing,2304.51,461
601,Notebook,Tools,2918.58,940
602,Mirror,Electronics,3080.33,858
603,Pen,Home,4220.82,849
604,Headphones,Electronics,316.07,83
605,Backpack,Books,929.94,556
606,Phone,Clothing,3336.42,743
607,Lamp,Home,2997.07,809
608,Notebook,Clothing,3002.06,217
609,Lamp,Beauty,2253.68,598
610,Monitor,Clothing,60.08,984
611,Tablet,Tools,24.79,596
612,Phone,Stationery,4365.01,541
613,Phone,Stationery,1817.34,957
614,Book,Tools,1608.32,109
615,Lamp,Books,402.91,553
616,Lamp,Books,3176.31,435
617,Shirt,Electronics,1267.29,550
618,Phone,Clothing,1494.38,130
619,Chair,Books,3230.16,932
620,Headphones,Beauty,769.33,879
621,Tablet,Tools,4270.14,517
622,Pen,Beauty,4603.71,683
623,Monitor,Stationery,2544.27,533
624,Shirt,Home,2417.81,29
625,Headphones,Stationery,4993.44,885
626,Chair,Books,420.73,907
627,Headphones,Home,2996.98,572
628,Keyboard,Books,2063.82,185
629,Notebook,Tools,1780.76,362
630,Headphones,Clothing,2341.38,670
631,Lamp,Tools,3803.71,885
632,Pen,Beauty,2387.01,241
633,Mouse,Stationery,188.57,915
634,Chair,Clothing,3525.59,128
635,Notebook,Tools,4890.11,796
636,Lamp,Electronics,1744.45,707
637,Lamp,Tools,4586.06,926
638,Book,Tools,1996.96,326
639,Phone,Clothing,4201.23,506
640,Phone,Stationery,532.35,427
641,Tablet,Books,3702.94,73
642,Pen,Home,838.32,664
643,Backpack,Home,1265.87,651
644,Mirror,Tools,1310.86,595
645,Tablet,Home,14.65,681
646,Mirror,Books,4435.62,920
647,Notebook,Electronics,3368.87,600
648,Backpack,Stationery,4693.84,830
649,Shirt,Stationery,1324.89,276
650,Pen,Beauty,1867.68,702
651,Monitor,Electronics,4526.23,178
652,Keyboard,Electronics,4859.9,954
653,Backpack,Books,4829.14,904
654,Backpack,Books,2278.9,465
655,Desk,Home,3598.61,226
656,Lamp,Stationery,1918.3,272
657,Backpack,Beauty,3556.73,63
658,Shirt,Home,3725.02,4
659,Lamp,Clothing,4365.05,212
660,Backpack,Beauty,1738.1,390
661,Tablet,Books,4355.79,85
662,Monitor,Clothing,4297.31,747
663,Mouse,Electronics,1407.36,117
664,Chair,Home,2107.24,68
665,Notebook,Home,582.43,205
666,Shirt,Books,2994.03,483
667,Mouse,Clothing,1715.54,87
668,Monitor,Clothing,3595.17,797
669,Desk,Books,2684.61,82
670,Backpack,Books,2551.24,749
671,Book,Books,1772.66,883
672,Mirror,Tools,2290.31,188
673,Chair,Beauty,1187.77,188
674,Keyboard,Books,4474.37,90
675,Notebook,Clothing,3631.22,641
676,Phone,Books,4792.86,690
677,Mirror,Clothing,525.35,754
678,Mouse,Beauty,4691.79,775
679,Notebook,Home,1013.61,64
680,Monitor,Books,2379.24,489
681,Laptop,Electronics,941.67,129
682,Phone,Electronics,1510.38,475
683,Mouse,Books,2703.47,951
684,Tablet,Clothing,4758.32,335
685,Shirt,Beauty,3380.79,523
686,Mirror,Tools,2005.17,14
687,Book,Home,4640.38,787
688,Laptop,Beauty,4380.53,702
689,Laptop,Home,2046.27,715
690,Headphones,Stationery,3229.64,674
691,Lamp,Tools,3114.26,735
692,Headphones,Electronics,4759.58,351
693,Phone,Tools,4037.13,847
694,Backpack,Electronics,621.09,289
695,Lamp,Beauty,2273.56,63
696,Keyboard,Tools,1826.36,854
697,Pen,Clothing,133.93,255
698,Lamp,Stationery,3377.93,1
699,Laptop,Clothing,4608.95,968
700,Phone,Electronics,2719.31,807
701,Backpack,Tools,987.37,884
702,Pen,Home,1327.15,966
703,Pen,Home,1313.43,213
704,Pen,Books,2896.71,730
705,Backpack,Tools,1469.41,328
706,Headphones,Electronics,3081.31,545
707,Phone,Tools,1695.85,712
708,Mouse,Clothing,4776.5,119
709,Lamp,Beauty,946.57,47
710,Notebook,Clothing,966.19,755
711,Phone,Books,2403.66,634
712,Book,Stationery,4640.94,466
713,Backpack,Tools,1763.59,976
714,Book,Clothing,4765.22,248
715,Headphones,Books,2765.42,92
716,Backpack,Beauty,131.46,373
717,Lamp,Tools,2267.28,235
718,Mirror,Books,20.0,714
719,Tablet,Electronics,2302.99,665
720,Desk,Tools,2437.93,451
721,Headphones,Tools,4113.97,605
722,Monitor,Stationery,572.86,126
723,Phone,Books,3324.16,588
724,Notebook,Tools,3117.89,284
725,Laptop,Books,3475.93,71
726,Notebook,Books,766.63,785
727,Mirror,Books,4429.91,614
728,Tablet,Stationery,1597.6,786
729,Monitor,Beauty,4463.66,897
730,Monitor,Stationery,1251.8,412
731,Pen,Books,4778.21,255
732,Desk,Clothing,2514.45,46
733,Laptop,Clothing,321.04,103
734,Notebook,Beauty,2420.42,98
735,Mirror,Clothing,1669.0,893
736,Mouse,Clothing,3509.72,967
737,Chair,Stationery,1768.36,536
738,Tablet,Clothing,3256.18,32
739,Book,Stationery,2257.68,774
740,Phone,Clothing,2926.76,465
741,Headphones,Electronics,1486.13,656
742,Monitor,Books,4396.39,935
743,Mouse,Beauty,3855.99,740
744,Tablet,Stationery,1608.35,839
745,Shirt,Tools,2338.24,272
746,Phone,Electronics,95.25,397
747,Lamp,Clothing,2056.01,541
748,Shirt,Beauty,2397.48,506
749,Book,Beauty,1198.85,805
750,Shirt,Electronics,2862.2,818
751,Lamp,Tools,3091.55,306
752,Backpack,Electronics,4338.93,793
753,Mouse,Clothing,2676.44,199
754,Tablet,Books,1335.96,432
755,Book,Beauty,2342.71,61
756,Desk,Beauty,2515.62,242
757,Phone,Electronics,2436.1,654
758,Phone,Clothing,2269.21,477
759,Desk,Home,1498.28,14
760,Chair,Beauty,3373.55,203
761,Keyboard,Tools,816.62,186
762,Headphones,Beauty,1893.63,973
763,Mirror,Home,1891.18,239
764,Tablet,Beauty,1445.25,281
765,Tablet,Books,1058.76,174
766,Lamp,Beauty,4713.52,78
767,Monitor,Beauty,666.59,645
768,Tablet,Books,2225.83,908
769,Shirt,Electronics,1077.25,958
770,Backpack,Home,2093.87,10
771,Backpack,Electronics,4515.39,467
772,Shirt,Stationery,2994.14,562
773,Mirror,Beauty,3643.81,565
774,Chair,Electronics,3572.3,68
775,Notebook,Tools,2235.33,79
776,Chair,Clothing,1898.84,660
777,Phone,Books,3683.74,447
778,Laptop,Tools,1256.04,2
779,Shirt,Clothing,3631.76,221
780,Mirror,Clothing,4099.64,386
781,Laptop,Beauty,4069.16,115
782,Tablet,Clothing,2633.22,522
783,Desk,Beauty,4108.63,988
784,Tablet,Clothing,3238.09,402
785,Lamp,Home,425.57,490
786,Headphones,Tools,1889.44,691
787,Chair,Tools,921.32,207
